0.124,0.256,0.621
0.190,0.534,0.275
0.412,0.332,0.256
0.000,0.469,0.530
0.661,0.311,0.028
0.634,0.352,0.014
0.488,0.242,0.270
0.130,0.616,0.254
0.439,0.176,0.385
0.467,0.383,0.151
0.213,0.653,0.134
0.475,0.147,0.378
0.378,0.133,0.489
0.629,0.182,0.189
0.308,0.310,0.381
0.627,0.076,0.297
0.191,0.382,0.427
0.584,0.381,0.034
0.423,0.265,0.312
0.545,0.198,0.257
0.085,0.463,0.452
0.259,0.608,0.133
0.593,0.253,0.154
0.300,0.150,0.550
0.295,0.390,0.315
0.877,0.026,0.097
0.220,0.270,0.510
0.428,0.317,0.255
0.431,0.237,0.332
0.683,0.247,0.070
